,L104B5Inv,L104B5LCIS,L13B6DCIS,L13B9DCIS,L14B14,L14B5,L14B901DCIS,L14B901Inv,L15B13I1,L15B13I2,L16B6,L16B9,L17B11,L17B14,L17B8,L19B6,L19B7ERPRp,L19B7ERpPRn,L19B7ERPRmix,L20B10Inv1,L20B9,L33B14DCIS,L33B14Inv,L33B8,L38B11,L38B6,L38B7ER63pos,L38B7ER63weak,L41B12PR57neg,L41B12PR57pos,L41B13,L41B16,L41B9,L47B4,L47B7,L47B9,L49B10,L49B11,L49B8,L50B11I1,L50B11I2,L50B14I3,L51B22I3,L51B25D,L51B31I1,L51B31I2,L52B12D,L52B12I,L52B6D,L52B6I,L52B9D,L52B9I,L54B12D,L54B12I,L54B13I2,L54B13I3,L54B7D,L54B7I,L54B8I1,L55B10,L55B6,L55B9I2,L55B9I1,L56B7,L56B8,L56B9,L65B12,L65B13,L65B14,L67B5,L67B7I,L67B7P,L67B8Inv,L67B8pap,L69B10,L69B8,L70B11,L70B14,L70B17,L73B10Area1,L73B10Area2,L73B12I1,L73B12I2,L73B14Area1,L73B14Area2,L75B4,L75B6,L75B7,L76B5,L76B7,L76B9,L77B10,L77B7,L77B9,L78B12Inv1,L78B12Inv2,L78B9I1,L78B9I2,L79B7Inv1,L79B7Inv2,L8B6I2,L8B6I1,L8B7,L8B10,L8B13,L82B7,L82B8,L82B9,L91B11I2,L91B14I3,L91B9I1,L95B10,L95B12,L95B8,L96B11,L96B12
FUT3,-7.849656552,-6.069436247,-4.4863164,-5.40494077,-6.395807588,,-4.677259094,-5.473512068,-5.969062472,-5.647977703,,-4.349808684,-1.013090935,-0.777637979,-0.562072412,,-6.031160569,,,-5.12305793,-6.265760452,-4.564589702,-6.461698498,-5.104049607,-2.821042991,-2.465912111,-2.733024599,-4.651957196,-7.529880107,-5.574681141,-4.023184506,-2.316983161,-4.463734406,-1.361913334,-0.952555968,0.056357674,-3.593526367,-3.060859877,-3.043158077,-6.778747833,-5.986401199,-5.571499356,-3.34835032,-2.368718396,-3.423384119,-3.836625532,-4.84161768,-5.232008032,-4.48073934,-5.846927676,-4.803944909,-6.246847216,,-4.25365707,-7.442866181,-4.911318582,-4.087487057,-5.335747435,-5.516991411,-7.209904444,-5.238311983,-6.114182595,-5.983163381,-3.064863962,-3.022802103,-2.842676234,-5.086804101,-6.668414466,-5.316617419,-5.959992578,-5.814670458,-6.310118148,-5.177225721,-5.04529145,-6.151500747,-4.388449512,-3.955138451,-4.453497003,-6.52583747,-7.548498496,-7.99653121,-6.940725404,-7.807726227,-5.549912548,-6.15717779,-1.182180671,-2.004021199,-3.058050717,-6.044818523,-6.683644127,-5.507139121,-2.941568576,-3.210293187,-3.070185497,-4.323398269,-2.794772499,-3.875758514,-3.242028843,-7.162196174,-8.797357457,-4.853430084,-4.516054024,-6.8249741,,,,-5.837179499,-7.007161162,-6.663170546,-7.152761532,-5.839161859,-5.933524304,-5.544624156,-6.012631764,-5.859279967,-5.056482398
ANXA9,-4.197822852,-3.476496236,-3.747547329,-2.626844698,-1.929871835,,-1.922879091,-3.140026611,-4.599051138,-4.371075774,,-4.295299177,-6.19273235,-5.611403388,-6.610315291,,-1.387864079,,,-2.046270831,-1.760421234,-0.896798505,-0.811185292,-1.837620972,-1.679925362,-1.751765278,-1.971598329,-1.335544861,-3.284639535,-1.428976242,-1.557078982,-0.860691927,-1.943181099,-3.009025966,-1.95391032,-2.942841992,-6.776986237,-5.960854112,-5.938569334,-3.494885675,-4.778642021,-4.685668273,-6.494940715,-5.997460485,-6.521064912,-5.535756949,-1.28443627,-1.319290134,-1.366387581,-1.042585939,-0.690765078,-0.651910884,,-2.04572436,-1.963083814,-2.931975612,-4.233662849,-2.884360689,-2.88865655,-3.726675946,-4.373404582,-4.06019591,-4.48717215,-3.761517808,-3.590941209,-4.931647503,-3.410930525,-3.205944527,-3.121369683,-1.899849852,-0.940717787,-0.842397079,-1.227111886,-0.963096846,-2.885596499,-3.903904978,-2.587950867,-1.789043378,-2.000546593,-3.187437015,-3.283167984,-3.215493224,-3.674089641,-4.450658169,-3.582520835,-7.824063241,-6.218840401,-6.780664559,-1.873498876,-1.428143394,-2.437850116,-3.852408635,-4.179944137,-3.068829985,-5.336117941,-7.50793189,-7.061668613,-7.142961983,-1.98409011,-2.055306673,-2.633347823,-2.598176766,-3.313974628,,,,-0.928745408,-0.708697266,-1.579933725,-1.778643967,-2.198443274,-2.020816382,-1.742171851,-2.436576033,-4.40384348,-2.320937992
SPC25,-6.184654323,-4.231597421,-4.807307772,-3.673847393,-3.986642307,,-4.32467734,-4.216349879,-4.621297734,-4.916884326,,-4.747998324,-3.149378233,-2.742174441,-2.930055764,,-3.799310868,,,-4.477974437,-4.127020155,-3.743210903,-4.10598327,-4.16337188,-4.584141004,-4.507676012,-4.126948796,-3.908580909,-5.430481644,-4.305357676,-4.235730049,-4.09472795,-4.206794666,-4.296043496,-3.793576726,-3.896151018,-2.638771722,-2.438537675,-2.953733511,-4.550120616,-5.294677027,-5.357822481,-4.672330231,-3.892007115,-4.423832048,-3.854274202,-5.031480317,-6.08929533,-5.14008726,-5.036790313,-4.025171718,-5.934209512,,-5.83583713,-5.46365456,-4.950407776,-4.862312195,-3.788644478,-4.449165402,-5.123931221,-4.648296254,-4.02060663,-5.648579317,-5.845757115,-5.157332211,-5.945497482,-6.875299996,-5.134982266,-5.690075814,-4.454520212,-4.562954684,-4.069542932,-4.31306671,-4.223161484,-4.272135293,-5.209523776,-4.09814081,-4.596499361,-4.761949233,-3.825252244,-4.173749284,-3.739592102,-3.591486033,-4.885559985,-4.585934631,-3.002148027,-3.167490991,-3.886856426,-3.728399671,-3.710112989,-3.932739091,-3.720590639,-5.204536336,-3.547409537,-4.6841804,-3.65364787,-3.580083853,-3.446364332,-5.087358162,-5.960679182,-5.374155483,-3.93724375,-3.860563253,,,,-3.404955598,-3.766468718,-4.535223545,-3.880190967,-4.78418273,-3.131053643,-3.177835304,-3.120751867,-8.461064279,-7.65826671
SNAI2,-0.399679815,-0.488595183,-2.103155916,-2.940093433,-1.335490092,,-1.19981172,-0.694858797,-1.284989992,-0.135671572,,-0.210056721,-2.29238513,-2.686492386,-2.745626257,,-2.56839676,,,-3.206273801,-3.544078345,-2.061682256,-2.144582458,-1.997070838,-3.302000824,-2.646031452,-3.100665901,-3.452118818,-1.086245343,-0.563785877,-1.024877706,-1.954569173,-1.123895054,-1.349703767,-1.549001963,-2.45696699,-1.616651779,-1.15046217,-1.062037279,-2.119051956,-2.371904743,-1.665257197,-0.073885121,0.090818349,2.581715846,0.777423342,-1.926996511,-2.707437679,-2.512678912,-3.016370772,-3.494624909,-2.40909481,,-1.920114967,-1.607427977,-1.790488791,-1.3038512,-1.462546193,-1.184276858,-0.597125474,-0.62666944,-0.361648748,-0.70729242,-1.281633318,-1.512810061,-1.55891187,-1.762270099,-2.626467667,-2.470130713,-1.510431204,-2.938711722,-3.514426752,-2.691067193,-3.20444015,-1.056539182,0.118980193,-0.855051854,-0.977261919,-0.862552346,-1.192786174,-1.719714433,-1.606262366,-1.576156072,-1.750173515,-1.415282831,-1.201219102,-1.324279613,-0.788492974,-1.34742907,-2.059716837,-1.93502689,-1.743775083,-0.685752743,-2.760894751,-1.413426788,-2.236978494,-2.646825024,-1.015281071,-2.634932442,-2.168398328,-2.728059332,-1.57030167,-2.030234291,,,,-3.086538968,-2.896624686,-1.691670793,-2.328006409,-2.053935101,-3.698261981,-5.119390889,-3.224828418,-0.566791128,-0.628179704
AURKB,-4.728921842,-3.726309115,-2.992452452,-2.788614098,-3.483431454,,-2.957838929,-3.104278258,-4.13416509,-3.998635974,,-3.425359717,-0.064995352,0.025249009,-0.386598871,,-0.962809601,,,-2.817319074,-2.472516721,-2.397527809,-2.537206908,-2.837452041,-2.607008996,-2.258208234,-2.273781954,-1.785290237,-2.666753273,-2.620406419,-2.085360305,-2.446903566,-2.917718651,-2.724196495,-3.215186879,-2.65827433,-1.079170006,-0.618691073,-1.198981365,-3.991311013,-4.374051086,-3.427918726,-2.915263073,-2.236453079,-1.962027037,-0.552357121,-3.438208183,-3.479149377,-3.37935838,-3.121590084,-2.441443356,-4.32406356,,-3.316565577,-3.775723595,-3.949384031,-3.269040061,-3.379796914,-3.91903239,-3.517251382,-2.955459771,-3.329671093,-4.475492085,-4.213238265,-3.630608024,-4.450482155,-4.475071034,-4.26526802,-4.597969148,-2.457059321,-2.612396679,-2.880433873,-2.372502015,-2.679737512,-3.598878567,-3.069317462,-2.419195012,-2.951500895,-3.219761573,-2.326814786,-3.732034416,-4.221828781,-3.277985696,-3.154831645,-3.748291087,-0.561733548,-0.885500325,-1.22972225,-1.525367096,-1.9582508,-1.541756187,-2.284353238,-2.942376026,-2.836619842,-1.570054281,-1.580556359,-0.522467002,-0.714934356,-4.208949942,-3.99263375,-2.645617647,-1.804160789,-1.898866544,,,,-2.152760683,-2.625174265,-3.343512688,-2.142932291,-2.758943291,-2.244958585,-2.659101063,-2.58766083,-4.808934585,-4.240602269
BMP8A,-4.879322162,-5.018931508,-2.937102736,-4.915255002,-5.827170479,,-4.865645231,-6.283386582,-3.556544564,-3.872889716,,-5.645110025,-4.062560625,-4.511906836,-4.723086942,,-3.955569657,,,-5.353141015,-5.77513204,-2.930678677,-3.257038831,-3.340370707,-4.935091042,-5.004352825,-4.461436256,-5.768474025,-4.684570142,-2.60598876,-3.155154464,-4.15617137,-2.786369078,-3.701745805,-3.387808004,-3.36534625,-4.250924907,-4.992724627,-4.34620866,-3.340091167,-3.362761158,-4.845560739,-2.866337286,-2.010511563,-2.879861447,-2.911378106,-4.62373531,-3.898648445,-6.847819471,-4.874157804,-4.562978927,-5.859039845,,-4.0357747,-3.494535143,-3.719716392,-5.606570282,-3.163668755,-3.867001647,-3.861596474,-4.974892909,-2.744093309,-3.370217572,-5.316263053,-4.690847946,-3.072049018,-3.738496131,-3.735143994,-4.716770681,-4.08818526,-4.103327812,-4.516313342,-3.576065993,-4.527121086,-2.843860656,-4.856103134,-5.53826929,-3.667394032,-4.869502374,-2.809701241,-4.288107603,-3.775223351,-3.600403999,-3.835362839,-3.937253844,-3.692235484,-3.883960343,-3.718377735,-3.675398198,-2.609679686,-3.744707603,-3.432057735,-4.769053567,-4.112587191,-4.933688949,-4.45015107,-5.396356741,-3.189080613,-4.655673319,-4.162250397,-4.512356467,-2.835978798,-3.375383147,,,,-4.579578979,-4.54097402,-3.668045296,-4.537854227,-2.521597011,-6.828171304,-7.024233656,-5.371225864,-5.181727326,-4.613395011
KLRK1,-2.723811912,-3.705219255,-3.807135992,-3.90641516,-3.816450904,,-2.952852077,-2.697758171,-5.237702694,-4.00972733,,-3.670916326,-2.720574213,-2.780569661,-2.405270077,,-1.173960148,,,-2.691128652,-2.241450044,-1.735793431,-4.910436202,-2.05802262,-3.475287891,-3.503364451,-3.829639011,-4.164197843,-2.51286266,-2.811420285,-2.021763914,-4.191426268,-3.373432533,-2.828353727,-4.858370327,-5.187453149,-1.354959138,-1.830240363,-1.686896929,-1.805828195,-1.573142625,-2.179995334,-2.322836438,-2.582242498,-6.745850789,-4.854364848,-3.456232971,-5.938545812,-2.75221005,-3.481720849,-1.91697267,-3.4615319,,-3.145112566,-5.05935495,-4.045655655,-4.193955445,-3.032824886,-3.663994896,-4.274141273,-3.532554417,-3.542969504,-2.99110717,-2.840516868,-3.884953159,-4.439063092,-3.755112254,-4.488725712,-3.690182306,-3.616148378,-2.52632137,-8.431159996,-4.194979761,-6.046039065,-0.503820342,-0.759900967,-1.570146937,-2.136409553,-1.697076738,-5.225628695,-4.732555097,-5.808356407,-5.67535723,-3.499340073,-4.848807557,-3.126093589,-3.343794474,-2.099568726,-2.85127028,-4.519843228,-5.480841745,-4.259044148,-2.065233249,-5.577003525,-1.711044595,-4.712933542,-4.290737726,-3.904905086,-3.651454664,-2.726106491,-2.574840346,-3.290575622,-2.677527416,,,,-2.965248742,-3.531159081,-5.292043039,-5.32774059,-4.327895081,-2.120113672,-3.021316173,-1.141658125,-4.779577109,-4.920196012
NDP,-4.856196665,-5.025935677,-4.674060376,-3.528285246,-4.284231295,,-3.846897223,-4.881309934,-5.739430417,-5.833383148,,-3.506067783,-8.093413344,-7.14410009,-6.558049492,,-0.72550242,,,0.208464602,0.301752949,-6.573372599,-7.037521987,-6.264835598,-6.89465331,-7.434053024,-6.923557932,-6.738742605,-5.889244909,-1.401550861,-4.074427012,-3.009771696,-0.672682365,-5.772015412,-7.154071424,-7.256645716,-6.029013763,-5.541324074,-6.474692881,-5.187519525,-6.318005031,-5.83271386,-5.305558637,-4.551930387,0.005314582,-1.127077256,-5.979689679,-8.218076937,-5.955846326,-6.815074673,-7.195773501,-6.06299112,,-5.391729068,-5.704080685,-7.127445196,-4.96252465,-5.888856933,-6.626202821,-6.65632886,-6.421701993,-7.042509862,-6.718845571,-5.756152032,-6.375155653,-5.408433422,-5.703153519,-5.240369764,-6.710574415,-6.694540151,-7.227289936,-6.781631315,-7.156885792,-6.811547882,-2.115121744,-4.079990964,-7.454034825,-6.367430875,-6.287768249,-4.555541773,-6.588536987,-7.416557794,-4.476203695,-4.839355556,-6.334146068,-7.654430253,-6.271599835,-6.248461492,-6.090004737,-7.429270059,-7.54227167,-7.552387974,-6.993381526,-7.633308153,-6.968983084,-6.74847961,-6.342545765,-6.74576723,-5.063853732,-4.040051933,-5.329262474,-5.136276323,-6.148779625,,,,-6.606445585,-7.098355343,-5.282997116,-4.074345939,-4.090392274,-5.070791533,-4.44709066,-3.979228606,-3.403085838,-3.050949678
DTX1,-2.804704531,-2.298318033,-2.593868091,-3.584614851,-3.979378611,,-2.890880507,-2.379011185,-3.45952409,-3.094045202,,-2.255307802,-5.041368411,-5.29784694,-4.885825742,,-3.798705838,,,-3.597401258,-4.540265709,-2.717931494,-4.030077789,-3.006038799,-3.27606513,-3.674827234,-4.378456948,-5.25253531,-2.004011069,-3.370740197,-3.234281062,-3.961039124,-2.40564433,-2.669155132,-4.038154991,-4.613217055,-3.800622601,-3.785197299,-3.184017441,-3.208769897,-2.74232026,-1.580945737,-1.788767556,-2.535706054,-3.358715559,-3.137012315,-2.453682688,-4.869608132,-3.17080686,-3.662526077,-3.663937431,-3.749287732,,-2.397442557,-3.566132462,-2.885661162,-1.514520171,-3.388385034,-3.202215456,-3.927207385,-2.944119285,-3.03090755,-3.677495916,-1.852305901,-1.790663673,-2.380889566,-1.863000731,-2.800754906,-2.61888286,-2.092298135,-2.0191258,-3.045088207,-3.32723328,-3.283923907,-2.908701624,-1.437113204,-1.899966332,-2.924393695,-2.694171392,-5.225846066,-5.204393496,-4.57712549,-4.130968428,-2.474840871,-4.249562859,-3.860014387,-4.056160174,-2.856144069,-3.112724813,-3.867027635,-3.980029246,-4.404754817,-3.146196737,-4.244173752,-2.242813697,-2.785271025,-3.341958669,-3.305070613,-4.844698813,-4.844271522,-3.87887246,-5.41924065,-4.363330606,,,,-3.627584352,-3.727176687,-2.544537114,-4.635525058,-1.343184505,-5.197405113,-5.44860902,-4.746691627,-2.044894299,-3.001088631
SOCS1,-1.80745134,-3.21422955,-3.13726377,-4.198590188,-2.810945383,,-2.078591089,-1.640722349,-2.764591623,-2.531734037,,-1.824108551,-2.751594964,-2.561284848,-2.511657436,,-1.105923589,,,-3.010233336,-2.374793373,-2.404905602,-3.918685758,-2.353144016,-3.600710694,-3.659864965,-3.332233931,-4.186946968,-1.317265723,-1.362066756,-1.590548605,-1.324919851,-1.285978779,-2.174229416,-3.449554254,-3.466214643,-1.272798405,-1.463157878,-1.514336806,-2.240049888,-2.184668848,-1.293883951,-0.978689837,-0.861433404,-2.694645654,-2.834868572,-3.22027733,-4.195630183,-2.804951206,-3.14466733,-1.26738498,-3.625506866,,-3.970186358,-4.663501644,-3.939308966,-2.581623925,-3.414846803,-4.080514587,-3.101882305,-2.266351393,-3.086089572,-2.466323174,-1.914151653,-3.428073228,-3.647764121,-2.426240939,-3.181880703,-3.945560873,-2.547737753,-3.035633302,-4.88275643,-4.258010907,-4.147138251,-1.705538675,-0.681222127,-1.841751718,-2.668733017,-2.07282064,-4.453033671,-4.271709764,-5.206238205,-4.687948872,-2.765148562,-4.389287622,-1.650007368,-2.581297985,-1.55949609,-2.783031527,-3.485987469,-3.802080945,-3.023875822,-1.417022615,-3.536078831,-1.184911648,-2.3983047,-4.091584191,-3.322021001,-4.164978848,-3.404211454,-2.320871203,-2.468921971,-2.61401833,,,,-2.896149864,-2.408523724,-2.738755676,-3.373396994,-1.850343956,-1.240938629,-2.0050501,-1.276257001,-1.752534503,-1.929272832
FOS,3.745467362,3.307192255,3.29267554,2.494225367,1.392522975,,3.663612493,3.837065596,1.641593591,3.834437084,,3.436557693,1.61072871,-0.042984775,0.853725841,,2.087038949,,,3.692142665,2.457660406,1.68107891,-0.241953231,3.076846228,3.013734083,2.567211865,1.672450478,1.755500309,5.3662562,2.969928187,2.6415574,2.035712162,3.571311188,2.217216788,0.355405738,-3.000509564,1.024629526,0.522102584,1.211368618,2.445908068,2.559012713,4.639947013,2.959873041,2.979730648,2.349618587,2.438192172,3.530169674,-0.20316195,3.2621931,3.007460462,1.403961153,2.357180346,,3.709665439,0.582287932,3.140929193,6.109054203,2.823495284,1.614752278,1.159329365,2.583048645,2.338640882,1.776152457,4.865803171,4.259290494,1.994957524,3.506252665,3.487996384,0.892675478,4.787542476,1.130744212,0.969687533,0.138864077,0.048269263,0.884119207,4.864531512,2.943220429,2.969003439,2.908053133,0.333770681,-1.270766518,-2.394711441,0.296283188,2.602116898,0.133371521,1.202029354,1.941233434,3.388072174,4.538521652,0.91987393,1.701414852,0.693629238,3.387326023,-0.342203052,3.865427533,1.072652316,2.314986703,-0.319530622,1.281649172,1.972150933,3.681936635,0.401928716,1.955921551,,,,1.304927558,0.69881674,2.638498144,0.131961915,1.721494912,0.566459985,-2.192538562,1.087646679,2.349906883,2.064874279
BCL2A1,-2.773459324,-4.218951799,-0.548522514,-2.874152621,-4.393398412,,-2.246006618,-2.564212295,-3.27549139,-2.323640431,,-2.077938832,-2.704358522,-2.084498674,-2.375881434,,-1.320028599,,,-2.88645165,-1.202326737,-1.822524035,-4.105523984,-1.919243512,-3.305604039,-2.905596881,-2.658136195,-3.847716383,-1.126166237,-1.507016474,-1.185817459,-1.985408401,-1.723466047,-2.334952132,-1.917920839,-2.253985261,-0.402916659,-0.590085308,-0.286140676,-2.895413877,-0.560200479,0.406114548,-1.381305658,-1.72095225,-3.455364333,-3.390003118,-1.751132281,-3.614839778,-2.529416689,-2.23938384,-1.129032035,-2.991974999,,-2.658582586,-4.705303365,-3.517163588,-1.199630825,-3.196352435,-3.372065024,-3.163847276,-3.797975875,-3.451101484,-2.792835268,-2.231857849,-2.215858287,-3.54459194,0.174265958,-2.906150263,-3.440485251,-1.349206706,-1.868700394,-5.136737588,-3.959451042,-4.351078727,-2.171936596,-1.478306762,-2.107279979,-2.266836617,-2.273588743,-4.527575315,-4.329244983,-4.560627529,-3.455642729,-2.812236994,-3.904929062,-1.249877379,-0.837093738,-1.407176047,-2.28053858,-3.74718321,-3.481673197,-3.93560353,-1.435490771,-4.60148621,-0.451734314,-2.071153625,-3.072271772,-2.045312251,-4.364324749,-3.197712142,-2.325775021,-3.59935667,-3.462374939,,,,-2.290865851,-1.854925394,-2.213733117,-3.931352058,-1.993795754,-1.514510825,-2.15094273,-0.864062836,-0.442794107,-3.838266165
TNN,-2.589501315,-4.296946309,-4.523174365,-5.638978019,-2.173330703,,-3.248331331,-3.369679679,-3.502660003,-2.85964714,,-2.631867448,-6.704074691,-6.911445784,-6.07616658,,-4.444607737,,,-6.110683862,-6.334559449,-4.034733865,-5.481181252,-3.618137118,-5.235419985,-5.686827668,-5.439366983,-6.106994467,-5.899862981,-5.316632792,-5.935061159,-6.178819131,-5.823663616,-3.162172409,-7.494973307,-6.50694505,-6.159018863,-6.334399482,-6.918164497,-3.955555079,-4.970563368,-4.772554149,-5.35404565,-5.282491237,-6.628097362,-5.545927859,-4.302445153,-5.981405002,-3.102031485,-3.985827054,-4.698711881,-5.174242488,,-4.769766978,-5.771676521,-3.208980223,-2.390249684,-2.95703958,-1.784444022,-4.057699871,-3.528889899,-4.413069904,-3.654019469,-1.996634403,-3.878418233,-4.565371252,-4.74195445,-5.323564815,-4.971767768,-4.497846575,-5.159879377,-6.392292661,-5.850009298,-5.902835069,-2.033683005,-2.669802864,-3.933929033,-5.554278109,-3.19575611,-6.751849336,-6.614919548,-6.910171319,-6.448549395,-5.490228982,-5.597228887,-2.87545229,-4.762270019,-3.662128606,-3.274013583,-6.467428039,-3.968994938,-4.89694191,-5.123810656,-6.61173419,-5.413072694,-6.222316563,-4.84457153,-3.484493253,-3.430589495,-3.615089369,-5.462544392,-4.964232114,-5.130365451,,,,-6.889946016,-5.834367978,-4.601818056,-4.469746436,-3.130611672,-6.72621838,-7.299350382,-6.131769416,-4.169779394,-2.257357334
PREP,-2.17259512,-2.083228484,-2.808111115,-2.655039999,-1.694209861,,-2.135163208,-2.276386923,-2.472551801,-2.648298623,,-2.336454667,-2.018411644,-1.801888915,-2.171331106,,-3.192520174,,,-2.57606328,-2.378210456,-2.622340426,-2.307088954,-2.47300202,-2.917071347,-2.409558689,-2.716686855,-2.75576754,-2.484552613,-2.150842023,-2.107140029,-1.921248226,-2.139605191,-2.477719354,-2.324661415,-2.865841678,-2.122788157,-1.780166566,-1.655930117,-2.231038675,-2.422697063,-2.474346878,-1.882702929,-1.439881667,-1.723220503,-1.493287521,-2.137002286,-2.431973072,-2.403314682,-2.613933309,-1.811451039,-2.317859036,,-3.412980126,-2.354326834,-2.145015894,-2.255492356,-2.687715569,-2.429116747,-1.582872877,-1.68311316,-2.112207652,-2.042588984,-2.281529306,-2.816468662,-2.787589955,-2.888615833,-2.631507104,-2.609415503,-2.168877041,-2.560927963,-2.384701519,-2.325809674,-2.264925154,-0.723481611,-1.931761033,-2.668374974,-2.89371503,-2.144556394,-2.115378488,-2.14625365,-2.401163718,-2.371258034,-2.301217111,-2.190934212,-0.706834265,-0.936753223,-0.58533129,-2.837058378,-2.632388469,-2.293263261,-2.880338937,-2.685663026,-3.53163408,-2.282346511,-1.190808594,-1.891576333,-1.969389135,-2.201155635,-2.31530705,-3.20254619,-2.781231311,-2.91199267,,,,-2.419691501,-1.852707569,-2.379745073,-2.630587466,-3.39736121,-3.004311303,-2.903803646,-2.580397876,-1.828719446,-2.209143701
NCAPH2,-1.445964056,-1.689590492,-2.163440774,-1.886002178,-2.321116988,,-2.415708344,-2.052089981,-2.494002422,-2.310947804,,-2.107710297,-2.16652502,-2.297331936,-2.148558734,,-1.224632977,,,-1.876969417,-2.098872453,-1.658090061,-1.892757603,-1.982567689,-2.60672965,-2.75616507,-2.683034565,-2.853622037,-2.382041044,-2.155037462,-2.242951112,-2.652226984,-2.09776266,-2.134928277,-1.956377059,-2.011478841,-1.874179208,-1.574344908,-1.846982454,-2.082226117,-2.246039799,-1.996014383,-1.745279516,-1.184332868,-1.167140657,-1.107281909,-1.691442842,-2.279772571,-2.036022295,-2.352798436,-2.401515504,-2.073735566,,-2.44135187,-2.791432355,-2.826841468,-1.929932688,-2.14904672,-2.510277862,-1.865462427,-1.564997746,-1.645753346,-1.966722768,-1.781990366,-1.931414413,-2.24672755,-2.163024133,-2.352317074,-2.655871856,-2.14556987,-1.91778559,-2.072196362,-1.989344618,-2.00211714,-2.127194053,-1.740997123,-2.307686062,-2.364339164,-2.07822566,-1.812317189,-2.292340016,-2.136590271,-1.859391238,-2.135659335,-2.155854413,-1.313010726,-1.495460442,-1.318267849,-1.514912863,-1.251349264,-1.563422222,-2.391246888,-2.653791367,-2.56670206,-1.646850122,0.01356552,-0.994756749,-0.835173827,-2.136444711,-2.089998325,-1.800296605,-1.839706112,-1.729868072,,,,-1.329525165,-1.452680971,-1.793007513,-1.56403084,-1.648701817,-2.099906325,-2.256820226,-2.380069031,-1.830275,-1.52463355
LRRC32,-0.036519206,-0.923494217,-1.046547987,-2.954942977,-0.85379155,,-0.173963074,-0.019254536,-0.671283244,-0.400074382,,-0.33643154,-2.131835599,-2.964376336,-2.237803391,,-1.733342654,,,-2.225165462,-2.621292012,-1.070714783,-1.794630863,-1.200298894,-1.851725345,-1.721676616,-2.155686412,-2.806400514,0.948364149,-0.125006036,-0.549347351,-1.242796396,-0.362870691,-1.05251005,-1.950491339,-2.824021502,-2.485358236,-2.996368838,-2.098842304,-1.59965848,-1.450410518,-0.258658615,0.781244041,0.233870034,-1.815195882,-1.021839226,-1.670023858,-2.22314371,-2.388217089,-2.364993733,-2.762798038,-1.93774987,,-0.88941817,-1.496389093,-0.974150816,-0.515355306,-0.731194205,-0.809038228,-0.386104771,0.185963191,-0.387930427,-0.088485117,-0.902659243,-0.255517189,-0.839969145,-0.350061162,-0.259652292,-1.026706062,-1.012116477,-1.569938284,-3.093814382,-1.762568546,-2.482000891,-0.468887559,-1.242704537,-0.4922033,-0.990561851,-0.818976736,-1.882279747,-2.128678599,-2.377929374,-1.958697969,-0.863229696,-1.731498808,-1.910551424,-2.353118994,-0.510369232,-0.452705649,-0.897061134,-0.624041319,-0.984486613,-0.55796626,-3.003661558,-0.900224855,-2.871740154,-2.166740926,-1.18185722,-2.461234813,-1.91582385,-1.545775058,-1.43940455,-1.949143041,,,,-1.498030889,-1.197536066,-0.919971866,-1.772565523,-0.628890852,-3.510245139,-4.405305236,-2.714883482,0.074040203,-0.45925344
PKMYT1,-4.438098547,-3.172451414,-2.191365172,-2.277261639,-1.629227149,,-1.597942984,-1.592472904,-4.233700763,-4.157728493,,-3.514911302,-0.851099192,-1.191605229,-0.757699089,,0.33602558,,,-2.285674213,-2.696081439,-2.109338801,-2.57348819,-2.205192055,-3.173116023,-2.6545174,-2.659822785,-2.812365594,-1.612492464,-2.054628995,-0.717726411,-0.878151791,-2.386964139,-2.227694895,-2.567106571,-2.159784177,-1.347189723,-1.557798599,-2.045142552,-3.758112847,-4.347636849,-3.07023853,-2.853515763,-1.941458151,-2.721210598,-0.994327787,-3.436736796,-3.122583031,-2.404481203,-1.925471266,-2.822745619,-3.585626578,,-2.656131107,-3.435714425,-3.181788768,-3.367104347,-2.29343663,-3.716170303,-1.853726788,-1.154431653,-1.172854038,-2.643573038,-5.388238631,-3.647346307,-4.072941499,-5.052554539,-4.371130498,-4.604295952,-2.41746058,-2.46805867,-2.022400049,-2.939548305,-2.91084419,-3.008418416,-3.280991091,-1.710176506,-2.241701921,-2.793888184,-1.938539734,-2.462808033,-2.058456436,-1.690353787,-2.135025602,-2.449806526,-1.420098147,-1.213524575,-2.320665429,-0.395741653,-0.219246026,-0.651001484,-2.751827985,-2.653623454,-2.159248989,-1.892259418,-0.191004438,-0.123736449,-0.314543304,-3.953087909,-4.55968004,-2.28037816,-1.88627951,-2.324347846,,,,-1.207511752,-1.921813931,-2.660715577,-1.174687009,-2.035338263,-2.050563725,-2.258869673,-2.498058591,-5.840039384,-4.622204316
